genres,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity
dc indie,311507,0.641,0.595,0.489,0.0415,0.159,-9.68,0.145,132.35,0.196,0,2,43
death 'n' roll,248616.5,0.000117035,0.20425,0.94475,0.528,0.2725,-7.07225,0.0826,139.83625,0.2835,1,7,39.75
death metal,279855.2158,0.025931296,0.311501619,0.902393551,0.37410547,0.197111634,-7.478926739,0.095849843,123.862607,0.286037594,1,11,39.1761891
deathcore,230775.839,0.07271085,0.406647527,0.902428867,0.179790076,0.191825798,-5.517114599,0.137594938,123.218726,0.275812076,1,11,43.2939206
deathgrass,174693.5333,0.352756967,0.30132,0.901,0.110776733,0.306466667,-6.090666667,0.103386667,98.23146667,0.428706667,1,11,35.53333333
deathgrind,248160.5,7.26E-05,0.25275,0.913083333,0.752333333,0.169054167,-10.4555,0.091495833,109.075,0.2479625,1,1,38.75
deathrash,278587.3852,0.001185171,0.288888889,0.912074074,0.413469896,0.179438148,-8.835544444,0.082528148,128.3336519,0.234817778,1,4,37.8037037
deathrock,259845.3472,0.023603752,0.416861111,0.795958333,0.250429943,0.211415278,-10.28161806,0.053954861,143.2717569,0.464106944,1,9,33.75694444
deathstep,275092.75,0.00151075,0.42625,0.93675,0.013299375,0.15325,-3.27475,0.080425,127.00625,0.2135,0,6,53.5
deep acoustic pop,214333,0.00357,0.419,0.734,2.32E-05,0.243,-7.841,0.0294,130.783,0.729,1,7,36
deep adult standards,166678.5178,0.803843455,0.505571798,0.326079369,0.02443773,0.226044802,-11.04068592,0.055811283,111.0787811,0.555313531,1,2,21.67467868
deep big room,212637.5515,0.053745156,0.646567698,0.829287381,0.133054544,0.179285317,-4.824874921,0.072905968,123.961512,0.429111032,0,11,58.10174603
deep ccm,368860.3529,0.216547614,0.469761554,0.582863308,0.026391906,0.25348982,-7.908678866,0.059767861,123.2885374,0.312637685,1,7,51.03046992
deep christian rock,262818.1999,0.467621752,0.517935215,0.399154497,0.030265799,0.203433169,-12.13363486,0.033200894,110.8192004,0.353704527,1,4,29.99088771
deep classic garage rock,147107,0.0338,0.57,0.6505,0.0004525,0.2225,-8.962,0.02835,90.61,0.719,1,2,26.5
deep comedy,207992.5,0.90775,0.666375,0.388125,0.235685375,0.571,-10.60175,0.6647,98.26325,0.71375,1,5,20
deep contemporary country,197856.7917,0.417125,0.6054,0.509941667,1.01E-05,0.17157,-10.917975,0.031228333,122.3526,0.594266667,1,9,30.25
deep cumbia sonidera,199689.8056,0.291363333,0.785327778,0.582855556,0.003529284,0.085477778,-7.075327778,0.068351667,125.5309722,0.943811111,1,4,43.28888889
deep dance pop,237182.5,0.11355,0.7015,0.942,0,0.289,-3.631,0.149,128.486,0.5825,1,10,67.5
